respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.13281121969705556,0.25215933494609966
26708,0.038488052796876324,0.023152777777777783
26709,0.5850580800992953,0.8919338023088023
26710,0.6075408229970922,0.8728133186258183
26711,0.29809553885656825,0.4084906343656345
26712,0.5993726262127966,0.8653757215007216
26713,0.4800104886943123,0.5272440476190475
26714,0.1586791517306223,0.12647446323026817
26715,0.021146429958929965,0.06867908767477732
26716,0.13231227024609374,0.8519278383688157
26717,0.06098157325131009,0.5090054473304474
26718,0.2809598493322162,0.529818520660626
26719,0.123577951868393,0.8710389194139193
26720,0.018249641290082462,0.2459805194805195
26721,0.5322578516254984,0.6074751082251083
26722,0.0341082251082251,0.07950721060782036
26723,0.5776796578464537,0.8882546622398317
26724,0.0914895235483471,0.806509548397868
26725,0.06144495872485004,0.08361111111111107
26726,0.06081972888222888,0.09733333333333331
26727,0.37041615329115324,0.7838675903774589
26728,0.2524044205997784,0.4848770379946851
26729,0.07284197624271153,0.2739948062558357
26730,0.0633894430732666,0.1855754596710479
26731,0.03487721224853577,0.2667394160498999
26732,0.0936842601842602,0.23524386724386726
26733,0.8937436289200994,0.9474523809523814
26734,0.6105366735088098,0.45095238095238094
26735,0.1800330364080365,0.3729161149308209
26736,0.054973068598068595,0.1290052031302031
26737,0.025140659177423884,0.10300595238095238
26738,0.6710973662775132,0.7888095238095241
26739,0.07531530520133461,0.1934010339076129
26740,0.16588199197603223,0.16265746753246751
26741,0.19388336334717912,0.9044709457209457
26742,0.12547872230109067,0.3398427881642169
26743,0.04722608682167505,0.30058579846079847
26744,0.08835239597004305,0.7422161172161171
26745,0.14130660311910312,0.7590555555555558
26746,0.07587946693829047,0.22217216117216118
26747,0.0698594958962606,0.13298556461459685
26748,0.17209597054991793,0.13577786266021558
26749,0.09320129870129872,0.6709077380952381
26750,0.7151037859199623,0.9236364379084968
26751,0.3709524762518183,0.784418865856366
26752,0.06818750693750693,0.1319297619047619
26753,0.12078975885225883,0.4450586783563126
26754,0.16547341628959272,0.44018849206349203
26755,0.09079955169099904,0.40377777777777796
26756,0.03445813908313908,0.07988888888888886
26757,0.43439037596390556,0.639115174857822
26758,0.5579465641212932,0.793670371295371
26759,0.03965789072039072,0.08613802863802865
26760,0.021740578049401577,0.060733585858585855
26761,0.3973029193029194,0.6606538461538461
26762,0.19407106945342242,0.7906190157881334
26763,0.6771011606857197,0.9062778471528473
26764,0.786075642086672,0.9101237468671678
26765,0.1785234467330056,0.6213413600288598
26766,0.14295529225676287,0.15618729609762222
26767,0.8080078601953602,0.6740808913308912
26768,0.049448554713260595,0.4269754901960786
26769,0.2109720992157138,0.22313277000777
26770,0.1588269565401918,0.5143489010989011
26771,0.06704483914778032,0.3103287545787546
26772,0.06770983364461625,0.4147078010065816
26773,0.08099703768453766,0.3925019841269841
26774,0.05500895011421327,0.4198273809523809
26775,0.06831257141551261,0.5087103174603176
26776,0.4341205179624298,0.48592511655011655
26777,0.179942097934745,0.7686049783549781
26778,0.21337867565441102,0.14893290043290044
26779,0.13565448154786386,0.6257628066378065
26780,0.26320444547282773,0.938061507936508
26781,0.20212589493839492,0.36845490620490623
26782,0.0470219176248588,0.2188701861201861
26783,0.06012708451679038,0.278465065702969
26784,0.34374207152496633,0.8440723235098235
26785,0.3717139061059339,0.6444181839402425
26786,0.08534759551593918,0.16285483960483962
26787,0.07200366300366301,0.5955862593289064
26788,0.13144584745320037,0.9222797619047618
26789,0.026606811789861323,0.25878232636928294
26790,0.057270006137653186,0.2239393008290067
26791,0.05941287878787877,0.09676390457368717
26792,0.26579552024772624,0.7224095928226362
26793,0.06519579704351375,0.950387987012987
26794,0.7143147106161808,0.846180194805195
26795,0.10465218319262441,0.8233131313131313
